Model regnet-regnetX_FPN; MAX_DISTANCE_OBJ 30.0; MAX_DISTANCE_INTERSECT 20.0; MAX_TIME_INTERSECT 10.0; class_name bus; dist_th 0.5; max tp 1008.0; max fp 18084.0; min fn 1054.0; max tp_pred_crit 590.9049133598631; max tp_gt_crit 565.5008854197856; max fp_pred_crit 9255.545838998032; min fn_gt_crit 477.7790643627591
Model regnet-regnetX_FPN; MAX_DISTANCE_OBJ 30.0; MAX_DISTANCE_INTERSECT 20.0; MAX_TIME_INTERSECT 10.0; class_name bus; dist_th 1.0; max tp 1661.0; max fp 17431.0; min fn 401.0; max tp_pred_crit 917.6060601350674; max tp_gt_crit 894.7839280673015; max fp_pred_crit 8928.844692222818; min fn_gt_crit 151.0779175875549
Model regnet-regnetX_FPN; MAX_DISTANCE_OBJ 30.0; MAX_DISTANCE_INTERSECT 20.0; MAX_TIME_INTERSECT 10.0; class_name bus; dist_th 2.0; max tp 1935.0; max fp 17157.0; min fn 127.0; max tp_pred_crit 1046.623192290007; max tp_gt_crit 1020.139281981026; max fp_pred_crit 8799.827560067883; min fn_gt_crit 22.060785432613557
Model regnet-regnetX_FPN; MAX_DISTANCE_OBJ 30.0; MAX_DISTANCE_INTERSECT 20.0; MAX_TIME_INTERSECT 10.0; class_name bus; dist_th 4.0; max tp 1972.0; max fp 17120.0; min fn 90.0; max tp_pred_crit 1061.067550122927; max tp_gt_crit 1032.386660572733; max fp_pred_crit 8785.383202234965; min fn_gt_crit 7.616427599694362
Model regnet-regnetX_FPN; MAX_DISTANCE_OBJ 30.0; MAX_DISTANCE_INTERSECT 20.0; MAX_TIME_INTERSECT 10.0; class_name trailer; dist_th 0.5; max tp 545.0; max fp 38785.0; min fn 1786.0; max tp_pred_crit 301.0663191006231; max tp_gt_crit 306.06154497281216; max fp_pred_crit 19744.535604795205; min fn_gt_crit 817.4252262833088
Model regnet-regnetX_FPN; MAX_DISTANCE_OBJ 30.0; MAX_DISTANCE_INTERSECT 20.0; MAX_TIME_INTERSECT 10.0; class_name trailer; dist_th 1.0; max tp 1076.0; max fp 38254.0; min fn 1255.0; max tp_pred_crit 578.5957620800937; max tp_gt_crit 576.531519061129; max fp_pred_crit 19467.006161815752; min fn_gt_crit 539.8957833038384
Model regnet-regnetX_FPN; MAX_DISTANCE_OBJ 30.0; MAX_DISTANCE_INTERSECT 20.0; MAX_TIME_INTERSECT 10.0; class_name trailer; dist_th 2.0; max tp 1662.0; max fp 37668.0; min fn 669.0; max tp_pred_crit 882.3501250019002; max tp_gt_crit 844.8921339084752; max fp_pred_crit 19163.251798893973; min fn_gt_crit 236.14142038203215
Model regnet-regnetX_FPN; MAX_DISTANCE_OBJ 30.0; MAX_DISTANCE_INTERSECT 20.0; MAX_TIME_INTERSECT 10.0; class_name trailer; dist_th 4.0; max tp 2005.0; max fp 37325.0; min fn 326.0; max tp_pred_crit 1028.4327395615232; max tp_gt_crit 974.9840875317717; max fp_pred_crit 19017.169184334347; min fn_gt_crit 90.0588058224098
Model regnet-regnetX_FPN; MAX_DISTANCE_OBJ 30.0; MAX_DISTANCE_INTERSECT 20.0; MAX_TIME_INTERSECT 10.0; class_name construction_vehicle; dist_th 0.5; max tp 451.0; max fp 34005.0; min fn 1062.0; max tp_pred_crit 254.12769309986422; max tp_gt_crit 257.6561911598751; max fp_pred_crit 18196.628780059928; min fn_gt_crit 576.3127260209194
Model regnet-regnetX_FPN; MAX_DISTANCE_OBJ 30.0; MAX_DISTANCE_INTERSECT 20.0; MAX_TIME_INTERSECT 10.0; class_name construction_vehicle; dist_th 1.0; max tp 887.0; max fp 33569.0; min fn 626.0; max tp_pred_crit 502.194990411475; max tp_gt_crit 510.20972118241025; max fp_pred_crit 17948.561482748333; min fn_gt_crit 328.24542870930946
