Model ssn-REGNET; MAX_DISTANCE_OBJ 30.0; MAX_DISTANCE_INTERSECT 20.0; MAX_TIME_INTERSECT 10.0; class_name construction_vehicle; dist_th 4.0; max tp 1056.0; max fp 16280.0; min fn 457.0; max tp_pred_crit 589.2913545632866; max tp_gt_crit 586.4820784223257; max fp_pred_crit 8082.570651042048; min fn_gt_crit 241.14906455749758
Model ssn-REGNET; MAX_DISTANCE_OBJ 30.0; MAX_DISTANCE_INTERSECT 20.0; MAX_TIME_INTERSECT 10.0; class_name pedestrian; dist_th 0.5; max tp 21904.0; max fp 148554.0; min fn 1596.0; max tp_pred_crit 15285.570903695509; max tp_gt_crit 15278.74016206336; max fp_pred_crit 97179.22391692056; min fn_gt_crit 1078.906488313054
Model ssn-REGNET; MAX_DISTANCE_OBJ 30.0; MAX_DISTANCE_INTERSECT 20.0; MAX_TIME_INTERSECT 10.0; class_name pedestrian; dist_th 1.0; max tp 22143.0; max fp 148315.0; min fn 1357.0; max tp_pred_crit 15467.369683989004; max tp_gt_crit 15462.317232629286; max fp_pred_crit 96997.4251366272; min fn_gt_crit 897.1077080196137
Model ssn-REGNET; MAX_DISTANCE_OBJ 30.0; MAX_DISTANCE_INTERSECT 20.0; MAX_TIME_INTERSECT 10.0; class_name pedestrian; dist_th 2.0; max tp 22366.0; max fp 148092.0; min fn 1134.0; max tp_pred_crit 15616.444763995152; max tp_gt_crit 15617.722063102472; max fp_pred_crit 96848.3500566209; min fn_gt_crit 748.0326280133995
Model ssn-REGNET; MAX_DISTANCE_OBJ 30.0; MAX_DISTANCE_INTERSECT 20.0; MAX_TIME_INTERSECT 10.0; class_name pedestrian; dist_th 4.0; max tp 22658.0; max fp 147800.0; min fn 842.0; max tp_pred_crit 15814.70738869343; max tp_gt_crit 15817.954694187245; max fp_pred_crit 96650.08743192245; min fn_gt_crit 549.7700033150832
Model ssn-REGNET; MAX_DISTANCE_OBJ 30.0; MAX_DISTANCE_INTERSECT 20.0; MAX_TIME_INTERSECT 10.0; class_name motorcycle; dist_th 0.5; max tp 1376.0; max fp 19849.0; min fn 479.0; max tp_pred_crit 1051.2583833792435; max tp_gt_crit 1043.4935382698854; max fp_pred_crit 12448.674696408983; min fn_gt_crit 264.92185604622046
Model ssn-REGNET; MAX_DISTANCE_OBJ 30.0; MAX_DISTANCE_INTERSECT 20.0; MAX_TIME_INTERSECT 10.0; class_name motorcycle; dist_th 1.0; max tp 1522.0; max fp 19703.0; min fn 333.0; max tp_pred_crit 1131.7895269458165; max tp_gt_crit 1120.1910516772807; max fp_pred_crit 12368.1435528424; min fn_gt_crit 184.3907124796492
Model ssn-REGNET; MAX_DISTANCE_OBJ 30.0; MAX_DISTANCE_INTERSECT 20.0; MAX_TIME_INTERSECT 10.0; class_name motorcycle; dist_th 2.0; max tp 1544.0; max fp 19681.0; min fn 311.0; max tp_pred_crit 1146.206600717417; max tp_gt_crit 1135.9280936580847; max fp_pred_crit 12353.726479070805; min fn_gt_crit 169.97363870804884
Model ssn-REGNET; MAX_DISTANCE_OBJ 30.0; MAX_DISTANCE_INTERSECT 20.0; MAX_TIME_INTERSECT 10.0; class_name motorcycle; dist_th 4.0; max tp 1571.0; max fp 19654.0; min fn 284.0; max tp_pred_crit 1164.3608666043147; max tp_gt_crit 1154.3924678737603; max fp_pred_crit 12335.572213183908; min fn_gt_crit 151.8193728211511
Model ssn-REGNET; MAX_DISTANCE_OBJ 30.0; MAX_DISTANCE_INTERSECT 20.0; MAX_TIME_INTERSECT 10.0; class_name bicycle; dist_th 0.5; max tp 1152.0; max fp 35565.0; min fn 672.0; max tp_pred_crit 894.7847978368978; max tp_gt_crit 891.9227233565672; max fp_pred_crit 25442.94243329753; min fn_gt_crit 459.68417306868844
